feature,coefficient,abs_coefficient
both_top6,-0.16844682,0.16844682
away_Corn_att_90,0.13247316,0.13247316
away_BigCh_agst_90,0.122987665,0.122987665
away_last3_goals,-0.11703336,0.11703336
gd_diff,0.11690663,0.11690663
away_position,-0.10972991,0.10972991
home_xGA_def_90,0.09602431,0.09602431
home_BigCh_att_90,0.09442661,0.09442661
home_Corn_att_90,0.092470214,0.092470214
position_diff,0.0898903,0.0898903
away_SoT_agst_90,-0.077965535,0.077965535
away_ToB_att_90,-0.06811335,0.06811335
away_SoT_att_90,0.06489114,0.06489114
SoTSum,0.06156642,0.06156642
close_positions,-0.0610739,0.0610739
away_BigCh_att_90,-0.055822495,0.055822495
TempoSum,0.05410132,0.05410132
home_SoT_agst_90,0.05204002,0.05204002
home_strength_ratio,0.046715852,0.046715852
AttackVsDefense,-0.03977957,0.03977957
away_xGA_def_90,0.035501175,0.035501175
home_ToB_att_90,-0.034460463,0.034460463
both_bottom6,-0.030559514,0.030559514
home_xG_att_90,0.02744855,0.02744855
home_form_trend,-0.02725906,0.02725906
away_form_trend,0.026801124,0.026801124
BigCh_sum,0.026479647,0.026479647
xG_att_sum,0.024575466,0.024575466
away_last3_points,0.02259556,0.02259556
home_SoT_att_90,0.021084717,0.021084717
home_position,0.017031323,0.017031323
home_last3_goals,0.009094711,0.009094711
home_last3_points,-0.008479079,0.008479079
points_diff,-0.008442814,0.008442814
away_xG_att_90,0.006962089,0.006962089
home_BigCh_agst_90,0.0068645393,0.0068645393
away_strength_ratio,-0.006374599,0.006374599
xG_att_min,-0.00033166664,0.00033166664
