split,mae,rmse,r2,rho,top10_hit,model
Train,0.4758364565168032,0.6079221066902469,0.8098400504739799,0.9018272494413663,50.0,Ridge
Val,0.5376812754964719,0.6756759330399293,0.7601300622221948,0.8837879380148107,60.0,Ridge
Test,0.47032178305401245,0.5795269199870607,0.8117782645394936,0.8881365701616403,90.0,Ridge
Train,0.47652117656444465,0.6127170198225066,0.8068284926189125,0.9009099552896109,60.0,ElasticNet
Val,0.46628872565668233,0.6142076885120468,0.8017882392301148,0.901219747485544,80.0,ElasticNet
Test,0.4520714466998133,0.5659052599966566,0.8205225023496183,0.8963960721928813,90.0,ElasticNet
Train,0.3199190357351223,0.4058581947100436,0.9152437332860734,0.9534652249294187,70.0,GradientBoosting
Val,0.5576794481752444,0.7233844739636003,0.7250604048031057,0.8790818296728498,60.0,GradientBoosting
Test,0.5415364058412239,0.6717342879986311,0.7471181974750432,0.8420850443014072,90.0,GradientBoosting
